Category,Description
Entertainment,VAGABOND WINES LTD London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,Chiringuito            London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,Battersea Flower Stati London        GBR
Entertainment,SOUTHBANK CLUB         VAUXHALL SW8  GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Shopping,AMAZON EU              AMAZON.CO.UK  GBR
Shopping,Amazon.co.uk           AMAZON.CO.UK  GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,Curtains Up            London        GBR
Entertainment,Southbank Club
Groceries,Sainsbury’s
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Bills,Freetrade Limited
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,PureGym Limited        Leeds         GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,CAFEXPRESSOP           BANBURY       GBR
Groceries,Sainsbury’s
Shopping,Festival Of Fun
Groceries,182A Supermarket LTD   London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,FREEMANS EVENT PARTNER HARDWICKE     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,The Black Cab  London        GBR
Eating out,The Black Cab
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,ARGOS LTD              MILTON KEYNES GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,WWW.BETTER.ORG.UK      HIGH WYCOMBE  GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Entertainment,DESIGNMYNIGHT          +442035815570 GBR
Eating out,LOST SOCIETY           LONDON        GBR
Bills,Electricity
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,Sainsbury’s 
Shopping,AMAZON UK RETAIL       WWW.AMAZON.CO LUX
Shopping,NIKE BATTERSEA         London        GBR
Shopping,Capital Golf London    London        GBR
Entertainment,MAPLE LEAF             COVENT GDN    GBR
Eating out,DINES* BETWEEN THE BRI LONDON        GBR
Eating out,DINES* BETWEEN BRIDGES LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transport,trainline              +443332022222 GBR
Eating out,Lucky Beach            Hove          GBR
Transport,Trainline              London        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Holidays,WIZZ AIR UK LIMITED    LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Holidays,Wizz Air
Transfers,Monzo
Bills,Rent
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Holidays,Flights
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,PYD*BrewDog Waterloo   London        GBR
Eating out,PYD*BrewDog Waterloo   London        GBR
Eating out,PYD*BrewDog Waterloo   London        GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Bills,Council and TV 
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Holidays,Accomodation
Shopping,ARGOS LTD              MILTON KEYNES GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Personal care,Dirty Laundry  London        GBR
Personal care,Dirty Laundry
Transport,Train
Transport,TFL CYCLE HIRE         LONDON        GBR
Bills,APPLE.COM/BILL         08001076285   IRL
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,KIA Oval       Birmingham    GBR
Eating out,Piglets Pantry Worthing      GBR
Eating out,KIA Oval       Birmingham    GBR
Eating out,Piglets Pantry Worthing      GBR
Transport,TFL CYCLE HIRE         LONDON        GBR
Groceries,TESCO-STORES-6152      LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Eating out,SEED MARKETING LIM London        GBR
Bills,Foxtons
Bills,Foxtons
Bills,EDF Energy
Bills,EDF Energy
Bills,NOW TV
Shopping,NIKE BATTERSEA         London        GBR
Transport,AnyVan
Bills,EDF Energy
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,SUPERMERCADO BOM DIA   CARVOEIRO     PRT
Holidays,HOTEL PLAZA CARVOEIRO  CARVOEIRO     PRT
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,Taberna Portuguesa
Eating out,Rest O Patio
Transport,Uber
Transport,Uber
Holidays,Hotel Plaza Carvoeiro
Eating out,Cazuza Chiringuito
Eating out,GELATARIA LA PLAZZA    CARVOEIRO     PRT
Eating out,GARDEN RESTAURANTE     8400-505 CARV PRT
Groceries,SUPERMERCADO BOM DIA   CARVOEIRO     PRT
Eating out,ALL DAY DINING BB      LAGOS         PRT
Transport,Uber
Entertainment,Palmares Golf
Eating out,All Day Dining Bb
Eating out,All Day Dining Bb
Eating out,All Day Dining
Eating out,Garden Restaurante
Groceries,Supermercado Bom Dia
Eating out,BAR INDIGO             LAGOS         PRT
Eating out,COFFEE & WAVES         8600-631 LAGO PRT
Eating out,THE GARDEN BAR GRILL   LAGOS         PRT
Eating out,A PETISQUEIRA          LAGOS         PRT
Eating out,A Petisqueira
Eating out,The Garden
Eating out,Bar Indigo
Eating out,Coffee & Waves
Groceries,SPAR LAGOS             8600-512 LAGO PRT
Entertainment,BLACK AND WHITE        LAGOS         PRT
Entertainment,BLACK AND WHITE        LAGOS         PRT
Eating out,Coffee & Waves
Entertainment,BLACK AND WHITE        LAGOS         PRT
Eating out,GELICIA                LAGOS         PRT
Entertainment,BEER E CO              FARO          PRT
Entertainment,BEER E CO              FARO          PRT
Eating out,MY SUSHI LAGOS         LAGOS         PRT
Eating out,THE GARDEN BAR GRILL   LAGOS         PRT
Bills,PureGym
Entertainment,BLACK AND WHITE        LAGOS         PRT
Transport,Uber
Eating out,Guanabana
Transport,Uber
Eating out,Bar Indigo
Eating out,The Garden
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,Trainline              London        GBR
Transport,LNER WEB SALES         07500447482   GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,Trainline
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Eating out,PRET A MANGER          LONDON        GBR
Eating out,Thirteen Thirty One    York          GBR
Eating out,BOBO LOBO              YORK          GBR
Eating out,THE MIDDLE FEAST   City Centre   GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS YORK DAVYGA YORK          GBR
Shopping,Drake's
Eating out,DYL-ICIOUS LIMITED     YORK YO1      GBR
Eating out,KINGS ARMS             YORK          GBR
Eating out,The Kings Arms
Eating out,THE MIDDLE FEAST   City Centre   GBR
Eating out,LUCKY DAYS             YORK          GBR
Bills,Vanguard
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,WH Smith Maryle        NW1 6JJ LO    GBR
Transport,UBER   * PENDING       London        GBR
Transport,UBER   * PENDING       London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Personal care,QUEENSTOWN BARBER      LONDON        GBR
Eating out,Curtains Up            London        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transfers,Monzo
Bills,Rent
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Eating out,Pockets        London        GBR
Entertainment,HORSE AND GUARDSMAN    LONDON        GBR
Groceries,TESCO-STORES-6152      LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transfers,Luno Money Limited
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,WOOLWORTHS ONLINE      Cape Town     ZAF
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,APPLE.COM/BILL         08001076285   IRL
Eating out,D i s t r i c  London        GBR
Entertainment,The Pear Tree  LONDON        GBR
Entertainment,The Pear Tree  LONDON        GBR
Transport,TFL GAS HOLDERS        LONDON        GBR
Shopping,Cologne
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,NOW TV
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,FLESH AND BUNS         LONDON        GBR
Groceries,SAINSBURYS - NORTH END LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Shopping,AMAZON UK RETAIL       WWW.AMAZON.CO LUX
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,Northcote              London        GBR
Groceries,CO-OP GROUP PETROL     LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Bills,Lambeth Council
Bills,TV Licensing
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Bills,PureGym
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,EDF Energy
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Shopping,AMZNMKTPLACE AMAZON.CO LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Eating out,Gourmet Coffee Bar & K Crewe         GBR
Groceries,WH Smith Liverp        L1 1JD LIM    GBR
Entertainment,The Black Toad         Wirral        GBR
Groceries,SAINSBURYS SUPERMARKET WIRRAL        GBR
Eating out,THE ROLLING STOVE  Hoylake       GBR
Entertainment,Bespoke Bar Company    Carnoustie    GBR
Shopping,THE OPEN SHOP          ST. ANDREWS   GBR
Eating out,Absolute Taste Ltd t/a St. Andrews   GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,Absolute Taste Ltd t/a St. Andrews   GBR
Entertainment,DINES* MEET  GREET     LONDON        GBR
Groceries,DINES* LOLAS FISH  CHI LONDON        GBR
Groceries,NOBLE'S KITCHEN LT Hoylake       GBR
Entertainment,Bespoke Bar Company    Carnoustie    GBR
Eating out,COSTA COFFEE 43010437  LIVERPOOL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Eating out,GAILS SOUTH LAMBETH    LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Shopping,AMAZON UK RETAIL       WWW.AMAZON.CO LUX
Groceries,SAINSBURYS - NORTH END LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,TV Licensing
Bills,BT
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,HOP POLES              LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Shopping,Amazon.co.uk           AMAZON.CO.UK  GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,DUKE OF SUSSEX LAMBETH LONDON        GBR
Eating out,DUKE OF SUSSEX LAMBETH LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,Coat & Badge           London        GBR
Eating out,YOUNGS.CO.UK           +4400000000   GBR
Groceries,LIDL GB                LONDON        GBR
Eating out,REDBACK                FULHAM        GBR
Transport,UBER   * PENDING       London        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS - NORTH END LONDON        GBR
Transfers,Monzo
Bills,Rent
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,SPORTSDIRECT.COM       +443442459200 GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Personal care,SUPERDRUG STORES PLC   FULHAM        GBR
Eating out,Cock Tavern            London        GBR
Eating out,FIVE GUYS FULHAM       LONDON        GBR
Entertainment,WWW.BETTER.ORG.UK      HIGH WYCOMBE  GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,Windsor Castle         LONDON        GBR
Eating out,Windsor Castle         LONDON        GBR
Eating out,Windsor Castle         LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Eating out,Distric  London        GBR
Shopping,Rituals Battersea      London        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,BOUNCE BATTERSEA       LONDON  SW88  GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Bills,Rental
Bills,APPLE.COM/BILL         08001076285   IRL
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Eating out,FLESH AND BUNS         LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,EDF Energy
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Bills,EDF Energy
Groceries,SAINSBURYS - NORTH END LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,The Pear Tree  LONDON        GBR
Entertainment,The Pear Tree  LONDON        GBR
Groceries,FOOD & WINE 03         LONDON        GBR
Bills,NOW TV
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,SAINSBURYS - NORTH END LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Entertainment,WWW.BETTER.ORG.UK      HIGH WYCOMBE  GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Bills,Lambeth Council
Bills,TV Licensing
Eating out,Ship                   London        GBR
Eating out,Ship                   London        GBR
Eating out,MCDONALDS              LONDON        GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Eating out,THE CUMBERLAND ARMS    LONDON  W14   GBR
Eating out,Riverside              London        GBR
Bills,PureGym
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,TESCO STORES     2765  LONDON        GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Groceries,Cacao Nibs
Shopping,AMZNMktplace           amazon.co.uk  GBR
Groceries,SAINSBURY'S NINE ELMS  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Entertainment,WWW.BETTER.ORG.UK      HIGH WYCOMBE  GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Bills,BT
Groceries,TESCO STORES     2765  LONDON        GBR
Groceries,SAINSBURYS - NORTH END LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transfers,Monzo
Entertainment,Theater
Bills,Thames Water
Bills,Vanguard
